Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,6804.899902,6804.899902,6684.100098,6684.100098,6684.100098,314200
2020-01-02,6684.100098,6709.200195,6669.200195,6690.600098,6690.600098,304900
2020-01-03,6690.600098,6788.200195,6690.600098,6733.500000,6733.500000,365200
2020-01-06,6733.100098,6738.600098,6671.700195,6735.700195,6735.700195,469800
2020-01-07,6735.700195,6834.299805,6735.700195,6826.399902,6826.399902,447400
2020-01-08,6826.399902,6831.700195,6749.600098,6817.600098,6817.600098,570700
2020-01-09,6817.600098,6889.200195,6817.600098,6874.200195,6874.200195,502100
2020-01-10,6874.200195,6933.200195,6874.200195,6929.000000,6929.000000,516000
2020-01-13,6929.000000,6929.000000,6880.700195,6903.700195,6903.700195,358100
2020-01-14,6903.700195,6962.799805,6903.700195,6962.200195,6962.200195,549700
2020-01-15,6965.500000,6996.799805,6960.399902,6994.799805,6994.799805,573400
2020-01-16,6994.799805,7041.799805,6994.799805,7041.799805,7041.799805,548200
2020-01-17,7041.799805,7088.100098,7041.799805,7064.100098,7064.100098,500300
2020-01-20,7064.100098,7092.500000,7064.100098,7079.500000,7079.500000,423400
2020-01-21,7079.500000,7079.500000,7040.700195,7066.299805,7066.299805,480900
2020-01-22,7066.299805,7144.899902,7062.200195,7132.700195,7132.700195,602000
2020-01-23,7132.700195,7132.700195,7068.799805,7088.000000,7088.000000,539700
2020-01-24,7088.000000,7122.700195,7085.700195,7090.500000,7090.500000,477600
2020-01-28,6994.500000,7030.000000,6994.500000,7023.500000,7023.500000,619700
2020-01-29,6994.500000,7046.799805,6994.500000,7031.500000,7031.500000,590500
2020-01-30,7031.299805,7038.200195,6993.000000,7008.399902,7008.399902,684400
2020-01-31,7008.399902,7046.700195,7008.399902,7017.200195,7017.200195,756400
2020-02-03,7017.200195,7017.200195,6897.000000,6923.299805,6923.299805,617600
2020-02-04,6923.299805,6963.299805,6915.000000,6948.700195,6948.700195,599400
2020-02-05,6988.600098,7009.299805,6962.899902,6976.100098,6976.100098,654100
2020-02-06,6987.899902,7050.000000,6987.899902,7049.200195,7049.200195,687700
2020-02-07,7045.200195,7051.600098,7002.000000,7022.600098,7022.600098,639800
2020-02-10,7022.600098,7024.399902,6982.600098,7012.500000,7012.500000,589700
2020-02-11,7017.200195,7070.200195,7017.200195,7055.299805,7055.299805,618700
2020-02-12,7055.299805,7098.600098,7055.100098,7088.200195,7088.200195,692700
